,Random Query,MSSIM,EarthMovers,OneDividedByEpsilon,KSTest,Scagnostics
19_AHP_distribution_0.1_64,78.1592752,0.591545999,1.785090402,10,0.234863281,0.545383654
19_AGrid_distribution_0.1_64,21.83103129,0.545290589,1.123717667,10,0.478515625,0.157223935
19_Geometric_distribution_0.1_64,278.8192,0.592229068,4.494384766,10,0.728271484,0.518703605
19_Laplace_distribution_0.1_64,82.07756854,0.465753794,9.261436279,10,0.548583984,0.523361212
19_DAWA_distribution_0.05_32,116.8604,0.618875325,3.313476563,20,0.63671875,0.315557237
19_AHP_distribution_0.05_32,230.0732809,0.438618302,5.856250657,20,0.392578125,0.548323984
19_AGrid_distribution_0.05_32,77.22440027,0.501879692,3.433903659,20,0.643554688,0.257125985
19_Geometric_distribution_0.05_32,511.4622,0.578629017,8.333007813,20,0.794921875,0.523162497
19_Laplace_distribution_0.05_32,187.932404,0.471362114,16.97089036,20,0.573242188,0.513054082
19_DAWA_distribution_0.05_64,43.5106,0.541934311,0.919677734,20,0.738037109,0.173965694
19_AHP_distribution_0.05_64,79.3114778,0.587672174,1.819183568,20,0.234863281,0.532655094
19_AGrid_distribution_0.05_64,36.25039516,0.506091475,1.285713543,20,0.504882813,0.204072285
19_Geometric_distribution_0.05_64,591.0736,0.53044039,9.547119141,20,0.675292969,0.511874156
19_Laplace_distribution_0.05_64,166.3628642,0.450311959,18.89327079,20,0.524169922,0.527397152
19_DAWA_distribution_0.01_32,143.847,0.4439376,4.125,100,0.415039063,0.539690479
19_AHP_distribution_0.01_32,270.9492915,0.368997395,7.998815511,100,0.39453125,0.548433108
19_AGrid_distribution_0.01_32,374.2382603,0.437988847,21.24004298,100,0.577148438,0.30572505
19_Geometric_distribution_0.01_32,2785.8662,0.454613268,46.00390625,100,0.583984375,0.534968056
19_Laplace_distribution_0.01_32,960.6012581,0.429859847,97.15079222,100,0.51953125,0.543166208
19_DAWA_distribution_0.01_64,61.5096,0.635050178,0.71484375,100,0.874511719,0.418925063
19_AHP_distribution_0.01_64,92.35561739,0.593518853,2.111304941,100,0.241943359,0.528146355
19_AGrid_distribution_0.01_64,171.5484656,0.446759105,5.310010744,100,0.577148438,0.200380088
19_Geometric_distribution_0.01_64,3000.8308,0.507892728,47.9309082,100,0.550537109,0.536106294
19_Laplace_distribution_0.01_64,937.3512082,0.404711306,100.8216163,100,0.514648438,0.522897616
14_DAWA_correlation_0.5_32,32.2648,0.885681987,0.44921875,2,0.9453125,0.066377136
14_AHP_correlation_0.5_32,59.21476226,0.884666204,1.175424011,2,0.461914063,0.476554052
14_AGrid_correlation_0.5_32,11.96635698,0.782252789,0.698918195,2,0.756835938,0.25027212
14_Geometric_correlation_0.5_32,30.983,0.882980049,0.453125,2,0.864257813,0.35910325
14_Laplace_correlation_0.5_32,22.63715502,0.77094537,1.157583244,2,0.739257813,0.359508679
